,type_,address,area,metro_station,metro_line,date,update_date,floor,full_floor,price
975,2-комн.кв.,"Радужная ул, 4",35.0,Станция не указана,Ветка не указана,Размещено 19 февраля,"сегодня, 00:39",8,11,6285271
696,2-комн.кв.,", 1",50.0,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:23",9,17,10583016
1402,2-комн.кв.,", 1",35.0,Станция не указана,Ветка не указана,Размещено 23 декабря 2021,"сегодня, 00:32",14,17,5628293
743,1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37.0,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:17",4,13,10342566
1076,3-комн.кв.,"Радужная ул, 4",78.0,Станция не указана,Ветка не указана,Размещено 14 февраля,"сегодня, 00:39",11,11,9298287
296,2-комн.кв.,"Девятая Рота ул, 27",47.0,Преображенская пл. м.,red,Размещено 26 марта,28 марта,8,12,15500000
341,3-комн.кв.,"Хлобыстова ул, 10к1",73.0,Рязанский пр-т м.,purple,Размещено 16 марта,26 марта,6,17,18500000
416,3-комн.кв.,"60-летия Октября пр-кт, 17",107.0,Академическая м.,Ветка не указана,Размещено 3 февраля,"сегодня, 10:39",9,39,36750000
495,3-комн.кв.,", 3",79.0,Станция не указана,Ветка не указана,"сегодня, 00:03","сегодня, 00:03",4,17,11362285
455,1-комн.кв.,"Академика Туполева наб, 15",104.0,Бауманская м.,blue,Размещено 15 декабря 2021,"сегодня, 10:39",13,23,41999997
1628,1-комн.кв.,"Камова ул, д.7к1",37.0,Станция не указана,Ветка не указана,Размещено 05 октября 2021,"сегодня, 00:17",13,17,7586171
1618,1-комн.кв.,"Недорубова ул, 32",31.0,Некрасовка м.,purpledark,Размещено 23 октября 2021,"сегодня, 00:14",18,22,9729658
1089,3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",59.0,Бунинская аллея м.,cyan,Размещено 10 февраля,"сегодня, 00:38",9,11,12217391
1288,2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",55.0,Бунинская аллея м.,cyan,Размещено 10 января,"сегодня, 00:33",15,15,10870851
1197,1-комн.кв.,", 1к1",37.0,Станция не указана,Ветка не указана,Размещено 8 февраля,"сегодня, 00:38",9,28,8915318
621,2-комн.кв.,", 15",3.0,Станция не указана,Ветка не указана,Размещено 25 марта,"сегодня, 00:16",5,10,7952309
